,Neighborhood,Airport Food Court,American Restaurant,Asian Restaurant,Beer Bar,Beer Store,Belgian Restaurant,Brazilian Restaurant,Cajun / Creole Restaurant,Caribbean Restaurant,Chinese Restaurant,Coffee Shop,Colombian Restaurant,Comfort Food Restaurant,Cuban Restaurant,Dim Sum Restaurant,Diner,Doner Restaurant,Dumpling Restaurant,Eastern European Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Food,Food & Drink Shop,Food Court,Food Truck,French Restaurant,German Restaurant,Gluten-free Restaurant,Greek Restaurant,Hakka Restaurant,Health Food Store,Indian Restaurant,Italian Restaurant,Japanese Restaurant,Korean BBQ Restaurant,Korean Restaurant,Latin American Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Molecular Gastronomy Restaurant,Moroccan Restaurant,New American Restaurant,Portuguese Restaurant,Ramen Restaurant,Restaurant,Sandwich Place,Seafood Restaurant,Sri Lankan Restaurant,Sushi Restaurant,Taiwanese Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant
26,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Fairview, Henry Farm, Oriole",0,0.047619048,0.047619048,0,0,0,0,0,0,0.047619048,0.238095238,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.047619048,0,0,0,0,0,0,0,0,0,0
28,"First Canadian Place, Underground city",0,0.066666667,0.066666667,0.044444444,0,0,0.022222222,0,0,0,0.222222222,0.022222222,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0.022222222,0,0,0,0.022222222,0.022222222,0,0,0,0.044444444,0.088888889,0,0,0,0.022222222,0,0,0,0,0,0.022222222,0,0,0.088888889,0.022222222,0.066666667,0,0.044444444,0,0.044444444,0,0,0,0.022222222,0
29,Forest Hill North & West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
30,"Garden District, Ryerson",0,0,0,0,0,0,0,0,0,0.028571429,0.285714286,0,0,0,0,0.057142857,0,0,0,0.028571429,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0.085714286,0,0,0,0,0.028571429,0.085714286,0.028571429,0,0,0.028571429,0,0.057142857,0.028571429,0.028571429,0.028571429,0,0,0,0.028571429,0,0,0,0,0.028571429
31,Glencairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Guildwood, Morningside, West Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
33,"Harbourfront East, Union Station, Toronto Islands",0,0,0,0.034482759,0,0,0,0,0,0.034482759,0.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.103448276,0.034482759,0,0,0,0,0.034482759,0,0,0,0,0.034482759,0,0,0.103448276,0.034482759,0.034482759,0,0.034482759,0,0,0,0,0,0.034482759,0
34,"High Park, The Junction South",0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
35,Hillcrest Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
